surname,ids,gender,age_bin,geography,creditscore,age,tenure,balance,numofproducts,hascrcard,isactivemember,estimatedsalary,churn_prediction,churn_score
Ikenna,75332-15802220,Female,36-45,France,586,36,2,0.0,1,0.0,0.0,75035.48,0,0.48286766
Nkemdirim,1113-15781619,Female,36-45,France,635,36,1,0.0,2,1.0,1.0,183598.77,0,0.020949595
Onwuamaeze,127987-15658195,Female,60+,Germany,645,63,1,123894.23,1,1.0,0.0,177836.43,1,0.93981117
Nnonso,69630-15585041,Male,26-35,Spain,681,33,8,0.0,2,1.0,1.0,172450.19,0,0.007663372
Kao,29119-15612043,Male,26-35,France,648,33,10,122570.22,1,1.0,1.0,163587.05,0,0.04549075
Ts'ai,123250-15742824,Female,26-35,Spain,603,31,9,0.0,2,1.0,1.0,100940.91,0,0.014068818
Hsing,22261-15672027,Male,46-60,France,537,52,4,0.0,2,1.0,1.0,71047.51,0,0.07972336
Onyemere,74550-15657537,Male,26-35,Spain,687,33,3,0.0,1,1.0,0.0,130461.9,0,0.18543096
Yegorova,144208-15646513,Female,36-45,France,586,40,7,153656.55,1,0.0,0.0,645.61,0,0.36731264
Smith,103685-15797733,Female,18-25,France,656,24,9,0.0,1,1.0,1.0,51565.98,0,0.18834846
Nwachukwu,117191-15593900,Male,46-60,Germany,623,47,9,69423.18,3,1.0,0.0,130789.6,1,0.9351882
Ch'iu,52092-15637954,Female,46-60,Germany,695,46,7,125870.86,2,1.0,0.0,182692.8,1,0.5375678
Hsiung,41397-15796071,Female,36-45,Spain,678,45,3,0.0,1,1.0,0.0,64517.9,1,0.8040029
Ch'eng,146353-15717489,Male,46-60,Germany,727,46,8,114655.58,2,1.0,1.0,72846.58,0,0.18571106
Dickson,159571-15621457,Female,26-35,Spain,580,30,5,0.0,2,1.0,1.0,126823.5,0,0.014579092
Nwachinemelu,7948-15594812,Male,26-35,France,709,34,3,0.0,2,1.0,1.0,93716.35,0,0.0067318315
Yefremov,156831-15745804,Female,26-35,Germany,746,30,10,151027.03,1,0.0,0.0,119100.05,0,0.34008834
Martin,86214-15699005,Female,36-45,France,710,41,2,156067.05,1,1.0,0.0,9983.88,0,0.26903495
Smith,48357-15672421,Male,36-45,Spain,687,44,10,0.0,1,1.0,0.0,66797.08,1,0.61220545
Hsueh,37370-15615477,Male,26-35,France,548,29,8,0.0,2,1.0,1.0,161364.41,0,0.00909358
Ch'ang,72188-15586800,Female,26-35,Germany,653,33,2,121151.05,2,1.0,1.0,93832.53,0,0.059703097
Maclean,119051-15632789,Male,26-35,France,774,30,10,0.0,2,1.0,1.0,24113.91,0,0.009535524
Cousens,155725-15700650,Male,26-35,France,681,34,6,0.0,3,0.0,0.0,55816.2,1,0.7364004
Lu,20945-15742210,Female,26-35,Germany,743,31,4,141074.59,1,1.0,1.0,64716.08,0,0.15816812
Hewitt,102796-15636982,Female,36-45,France,535,44,2,114427.86,1,0.0,1.0,136330.26,0,0.33846936
Eluemuno,88175-15587909,Male,36-45,France,559,36,7,0.0,2,0.0,1.0,175750.02,0,0.018122578
Onyemachukwu,89676-15652789,Male,36-45,France,667,43,7,0.0,2,1.0,0.0,76614.04,0,0.070859276
Lai,92141-15603319,Male,36-45,Germany,642,39,0,141541.25,2,1.0,1.0,146715.07,0,0.06502938
Hao,74110-15791836,Female,36-45,Spain,710,39,5,0.0,2,0.0,0.0,143981.27,0,0.067862585
Bowen,10791-15671915,Male,46-60,France,554,46,5,0.0,2,1.0,0.0,76946.6,0,0.15166053
K'ung,27842-15753847,Male,36-45,France,526,36,3,0.0,2,0.0,0.0,135851.3,0,0.046109904
Pinto,4177-15806909,Male,36-45,France,641,38,9,0.0,2,1.0,1.0,123866.89,0,0.011662306
Palerma,90408-15643048,Male,46-60,Germany,615,46,1,126817.65,1,1.0,0.0,157552.08,1,0.839931
Panicucci,14441-15661591,Male,36-45,Spain,413,39,2,130969.77,2,1.0,0.0,158891.79,0,0.14149798
Lucchesi,151889-15785542,Male,26-35,France,673,31,3,0.0,2,1.0,1.0,175071.29,0,0.0076872837
Onyemere,8167-15789611,Female,26-35,Spain,579,35,3,131411.24,1,1.0,0.0,95009.6,0,0.1931231
Wright,52900-15651369,Male,26-35,France,576,32,1,0.0,2,1.0,0.0,66232.23,0,0.016606692
Hsueh,126928-15693322,Male,18-25,Germany,704,24,7,117738.81,2,1.0,1.0,152417.79,0,0.039075024
Ainsworth,70792-15734461,Male,26-35,France,729,35,8,0.0,2,0.0,1.0,49676.09,0,0.010328708
Shih,29531-15810845,Male,26-35,Spain,739,33,0,0.0,1,1.0,1.0,14081.64,0,0.11922451
Maclean,109371-15758031,Male,26-35,France,675,27,6,0.0,2,1.0,1.0,185210.63,0,0.00679908
T'ien,137020-15674840,Female,36-45,France,662,41,7,121063.26,1,1.0,0.0,171928.9,0,0.33267695
Yegorov,56057-15603318,Male,36-45,Spain,594,38,5,0.0,2,1.0,1.0,71830.9,0,0.011765179
Y?an,71691-15791268,Male,36-45,France,683,36,8,0.0,2,1.0,1.0,91943.94,0,0.009502052
Chidiebere,46343-15749401,Male,36-45,Germany,682,45,5,137841.5,1,1.0,1.0,166511.12,0,0.38839597
Milano,34693-15767064,Female,36-45,France,651,41,5,114737.23,1,0.0,0.0,126253.31,0,0.35739213
Tretyakova,135075-15742238,Female,26-35,France,773,29,7,71286.29,1,1.0,0.0,74564.67,0,0.11716047
Wilson,18042-15597930,Female,46-60,France,646,49,6,59669.43,1,0.0,0.0,172495.81,1,0.7843118
P'eng,46584-15590146,Male,26-35,France,687,30,5,0.0,2,1.0,1.0,180829.98,0,0.0071806572
Chiekwugo,163218-15676966,Female,26-35,Germany,689,31,4,99745.95,2,1.0,1.0,143635.36,0,0.049908873
Lu,131660-15725679,Female,46-60,France,531,46,6,0.0,2,1.0,0.0,194998.34,0,0.25495368
Chukwuemeka,81411-15751710,Female,26-35,France,645,34,7,102278.81,1,1.0,0.0,79919.13,0,0.1293331
Piazza,49118-15721207,Female,36-45,Germany,559,42,8,100047.33,1,0.0,1.0,93429.95,0,0.43645376
Mazzanti,100167-15772996,Male,36-45,Spain,732,39,3,0.0,2,1.0,0.0,172497.73,0,0.036941633
Tien,93965-15622578,Female,36-45,France,721,43,8,0.0,2,1.0,1.0,114448.77,0,0.056789033
Chukwuemeka,87568-15648967,Male,46-60,Spain,558,51,9,0.0,1,1.0,1.0,46884.1,1,0.51297563
Buchi,29399-15627352,Female,36-45,Spain,752,43,3,0.0,2,1.0,0.0,122268.75,0,0.16986945
Gilroy,151729-15578374,Male,26-35,Spain,620,30,7,169312.72,1,1.0,0.0,45414.09,0,0.12747361
Voronoff,111106-15663249,Male,36-45,Spain,595,38,1,101487.18,1,1.0,1.0,77519.62,0,0.04667067
Chinwendu,157575-15593969,Female,46-60,Germany,616,46,5,94762.14,1,1.0,0.0,162697.1,1,0.86402154
Hill,25328-15776850,Male,36-45,Spain,685,41,1,0.0,2,1.0,0.0,191207.03,0,0.048217207
T'ao,101205-15727177,Male,36-45,France,724,40,5,0.0,2,1.0,0.0,159403.18,0,0.03882776
Nnaife,139846-15697042,Female,36-45,France,777,39,7,0.0,1,1.0,0.0,89893.6,0,0.411069
Taylor,5891-15619087,Male,46-60,France,762,54,2,102520.37,1,0.0,1.0,170195.4,0,0.32301208
Chienezie,148595-15794564,Female,36-45,France,611,38,10,116295.29,1,1.0,1.0,171787.11,0,0.12459357
Martin,99080-15699005,Female,36-45,France,710,39,2,0.0,1,1.0,1.0,91844.14,0,0.24326445
Kenechukwu,138495-15719265,Male,18-25,France,663,22,6,89750.02,1,1.0,0.0,109159.13,0,0.09363749
Nnanna,107862-15770039,Male,46-60,Germany,682,48,2,118577.24,1,1.0,0.0,160828.98,1,0.84564877
Tsao,76927-15595036,Male,26-35,France,733,26,2,97792.21,1,0.0,1.0,151811.28,0,0.047326706
Palerma,54469-15716041,Male,26-35,Spain,750,34,8,0.0,1,1.0,0.0,164864.66,0,0.16318724
Lai,24847-15736397,Male,18-25,Spain,651,23,2,0.0,2,1.0,0.0,165562.84,0,0.018986614
Chukwudi,137339-15632859,Female,36-45,France,444,36,7,0.0,1,1.0,0.0,138743.86,0,0.49838448
P'eng,70450-15581286,Male,26-35,France,585,33,6,0.0,1,1.0,1.0,56875.76,0,0.081343666
Pinto,139418-15750837,Female,26-35,France,579,31,4,140260.36,2,1.0,0.0,2444.29,0,0.07485475
Pagnotto,127158-15581525,Female,26-35,Spain,762,29,2,0.0,1,0.0,0.0,62289.43,0,0.3363825
Frolova,65252-15782534,Male,46-60,France,648,51,9,0.0,4,0.0,1.0,52827.14,1,0.7849293
Ts'ui,55359-15641715,Male,26-35,France,676,34,5,0.0,2,1.0,1.0,174196.68,0,0.0074114595
Nwora,163738-15772421,Female,46-60,France,645,46,1,0.0,2,1.0,0.0,171060.01,0,0.3205912
Ibezimako,57007-15586535,Male,26-35,France,659,33,3,118627.85,1,1.0,0.0,38276.83,0,0.11408407
Eberegbulam,146908-15694404,Female,26-35,France,725,32,6,0.0,2,1.0,1.0,114935.21,0,0.012584493
T'ao,46264-15602979,Male,36-45,Germany,558,37,1,152347.01,2,1.0,0.0,172576.56,0,0.09825286
Maclean,82739-15571686,Male,36-45,France,726,37,2,86950.07,1,1.0,0.0,164876.66,0,0.11193649
Tsao,7210-15682467,Female,36-45,Spain,633,36,4,121237.65,1,1.0,0.0,137037.97,0,0.22826408
Hsia,9720-15752816,Female,46-60,Spain,593,56,5,0.0,3,1.0,0.0,94957.66,1,0.96734023
Crump,77041-15648030,Female,26-35,France,731,33,5,137388.01,1,1.0,0.0,165000.68,0,0.16187091
O'Loghlin,22113-15676966,Male,26-35,France,683,35,5,126076.24,1,1.0,1.0,143980.29,0,0.04306669
Rossi,61049-15677105,Female,60+,Germany,706,61,4,105214.58,1,1.0,1.0,108699.59,1,0.5532268
Mazzanti,89623-15642835,Female,36-45,France,545,45,7,0.0,2,0.0,0.0,10074.05,0,0.1997892
Tobeolisa,63089-15732061,Male,36-45,Germany,585,37,9,105128.85,2,1.0,0.0,93715.37,0,0.10786067
Maclean,106138-15665181,Male,46-60,Spain,717,57,5,0.0,1,1.0,0.0,111395.98,1,0.87217647
Padovano,86449-15603378,Female,36-45,France,768,36,5,141334.95,1,0.0,1.0,125870.5,0,0.10605348
Gomes,47436-15651026,Female,60+,Germany,850,69,3,71467.33,2,1.0,1.0,143586.25,0,0.114410035
Udinese,119331-15813095,Male,26-35,France,681,31,7,130806.99,2,1.0,0.0,151872.08,0,0.046280093
P'eng,2606-15683342,Female,26-35,France,659,32,1,164584.99,2,0.0,0.0,168882.84,0,0.1673529
Hao,57382-15588923,Female,26-35,Germany,567,26,1,111855.02,2,1.0,1.0,74850.84,0,0.06600041
Chinwenma,94299-15690337,Male,26-35,France,581,27,6,102258.11,2,1.0,1.0,194681.6,0,0.026577868
Folliero,46830-15725794,Female,26-35,France,717,31,9,0.0,2,1.0,1.0,26136.13,0,0.014285418
Cheng,77876-15765520,Male,26-35,Germany,641,32,4,124401.6,2,1.0,0.0,116511.12,0,0.073651895
Fanucci,42676-15716357,Female,36-45,France,559,36,7,0.0,2,1.0,0.0,97640.09,0,0.051901426
Crawford,156017-15798532,Male,26-35,France,810,32,7,120879.73,1,0.0,0.0,78896.59,0,0.09671448
Fedorov,157693-15682778,Male,26-35,France,716,33,9,0.0,1,0.0,1.0,73551.44,0,0.08605773
Galkin,73274-15594576,Male,46-60,France,683,54,3,0.0,1,1.0,0.0,27472.07,1,0.84588
Maclean,87031-15662098,Male,18-25,France,663,20,6,0.0,2,1.0,0.0,72467.38,0,0.013784113
Ts'ai,31064-15756610,Male,26-35,Spain,550,29,4,0.0,2,1.0,0.0,103381.47,0,0.021700962
Chukwueloka,139788-15805413,Female,36-45,Germany,743,42,10,135133.39,1,1.0,0.0,1408.68,1,0.6985063
Yuryeva,50450-15633612,Female,46-60,France,696,58,1,172646.82,1,1.0,1.0,116471.43,0,0.32518226
Ts'ui,107379-15641655,Female,36-45,France,771,45,5,0.0,2,0.0,1.0,50051.42,0,0.0708613
Maclean,46431-15578515,Male,36-45,France,579,38,8,0.0,2,1.0,0.0,113868.4,0,0.023665398
Kerr,54552-15706729,Male,26-35,Spain,563,35,4,0.0,2,1.0,0.0,87422.15,0,0.020991795
Ts'ui,162041-15588904,Male,18-25,France,637,22,7,0.0,1,1.0,0.0,184842.4,0,0.17492844
Hs?,9017-15736250,Female,36-45,Spain,732,39,9,0.0,2,1.0,0.0,126728.27,0,0.058162473
T'ien,35363-15660301,Female,26-35,Spain,809,31,4,0.0,2,1.0,0.0,162830.52,0,0.039721195
Brown,131904-15616243,Male,36-45,Germany,637,36,4,137687.69,2,1.0,1.0,140134.47,0,0.03832005
Ndubueze,82543-15656322,Female,46-60,Germany,692,59,7,153656.32,2,1.0,1.0,126253.31,0,0.21417025
Fraser,55120-15775720,Male,18-25,Germany,677,25,4,118742.74,1,1.0,0.0,197077.36,0,0.23616034
Nkemakolam,152952-15616088,Male,36-45,Germany,611,45,2,119027.28,1,1.0,0.0,82222.91,1,0.72297984
Aitken,109985-15734987,Female,60+,France,754,67,3,0.0,2,1.0,1.0,114514.92,0,0.053955987
Harding,96990-15570908,Female,26-35,Spain,687,28,7,93617.07,1,0.0,0.0,113050.92,0,0.14349815
Iroawuchi,72752-15687270,Female,36-45,France,813,36,5,0.0,2,1.0,0.0,184524.74,0,0.05499209
P'an,42937-15709478,Male,26-35,France,636,30,9,117559.05,2,1.0,1.0,117023.08,0,0.023005487
Goliwe,49169-15738042,Male,26-35,Spain,643,32,7,0.0,2,1.0,1.0,118059.19,0,0.007590168
Cone,130845-15690130,Male,26-35,France,608,29,3,0.0,2,1.0,1.0,138330.96,0,0.008027957
Hsia,128844-15767432,Male,46-60,Spain,632,50,8,0.0,2,1.0,0.0,182354.46,0,0.28117427
Tien,126963-15628963,Male,26-35,France,793,32,6,139106.19,1,1.0,1.0,184524.65,0,0.044157635
Davide,26388-15594577,Female,26-35,Germany,576,35,1,118287.01,1,1.0,0.0,60429.43,1,0.5745978
Fyodorov,69750-15712409,Female,26-35,France,564,32,10,105492.53,1,1.0,0.0,193009.21,0,0.18924105
Udegbunam,129278-15675185,Male,26-35,Spain,682,33,1,0.0,1,1.0,0.0,62703.38,0,0.2173356
Folliero,47431-15771580,Male,36-45,France,646,36,2,0.0,2,1.0,1.0,181461.46,0,0.011907165
Chidiebere,138411-15681665,Female,26-35,Germany,757,29,4,141806.0,2,1.0,0.0,136983.11,0,0.10877416
Folliero,163655-15726354,Male,46-60,Spain,555,46,2,0.0,1,1.0,0.0,131804.86,1,0.7815901
Perry,21863-15700946,Male,26-35,Spain,635,35,5,0.0,2,0.0,1.0,90883.12,0,0.01341721
Nnamutaezinwa,56115-15661708,Male,26-35,France,642,35,8,0.0,2,1.0,1.0,126728.28,0,0.008248341
Smith,13549-15702277,Male,26-35,France,778,33,7,0.0,3,1.0,0.0,122996.76,1,0.6156043
Shih,37103-15689328,Female,46-60,Germany,701,59,9,83764.95,1,1.0,0.0,141364.66,1,0.90203625
Nwachukwu,90597-15681674,Female,46-60,Germany,551,50,1,108286.84,1,1.0,1.0,141798.98,1,0.80969644
K?,36292-15664808,Male,36-45,Spain,600,40,9,0.0,1,1.0,0.0,78770.58,0,0.41933194
Ts'ao,26839-15721426,Female,36-45,France,636,38,8,0.0,2,1.0,0.0,53511.74,0,0.053954404
Ko,119369-15569423,Male,46-60,Germany,739,53,5,139984.66,2,1.0,0.0,60931.02,1,0.6204506
Cribb,33784-15622230,Female,26-35,France,705,27,3,0.0,2,0.0,1.0,66331.01,0,0.020085106
Hsing,67564-15613886,Female,26-35,France,737,34,8,79364.6,1,0.0,0.0,121761.9,0,0.12115536
Hansen,11515-15787772,Male,36-45,France,759,38,1,104091.29,1,0.0,0.0,91561.91,0,0.16456069
Iloerika,125119-15691817,Male,36-45,Germany,831,38,8,180530.51,1,0.0,1.0,54530.51,0,0.16365272
P'eng,40029-15734689,Male,26-35,Germany,671,34,2,122824.88,2,1.0,0.0,143317.31,0,0.064104356
Houghton,89673-15672467,Male,36-45,Spain,710,41,1,0.0,2,1.0,1.0,141872.05,0,0.01762298
Tuan,28679-15722404,Male,26-35,Spain,656,29,2,0.0,2,1.0,1.0,121402.53,0,0.008632254
Johnson,21255-15718765,Female,36-45,Spain,741,37,2,0.0,1,1.0,1.0,3939.87,0,0.16864435
Milanesi,128940-15763194,Male,36-45,France,754,37,2,0.0,1,1.0,0.0,100304.13,0,0.28347462
Yermolayev,124069-15701522,Female,26-35,France,711,29,9,0.0,2,0.0,0.0,3234.8,0,0.04101656
Chinedum,44971-15798850,Male,26-35,Spain,685,35,5,124067.32,1,1.0,0.0,146891.07,0,0.11888843
Bevan,58169-15782364,Male,26-35,Spain,521,33,3,146408.68,2,0.0,1.0,72993.65,0,0.036869686
Tuan,85937-15656901,Male,36-45,France,668,45,1,0.0,1,1.0,0.0,68815.05,1,0.6328061
Hsiung,27138-15581286,Female,36-45,Germany,542,36,9,127068.94,2,1.0,1.0,109355.72,0,0.077927686
Tien,105210-15780215,Male,36-45,Spain,531,41,3,92219.59,1,1.0,1.0,181224.79,0,0.096032195
Nnamutaezinwa,98924-15792679,Male,36-45,France,692,38,8,0.0,2,1.0,1.0,91406.62,0,0.010803992
Ndubueze,97275-15746678,Female,26-35,Spain,567,28,2,0.0,2,1.0,0.0,51705.02,0,0.044463195
Pickering,67869-15648577,Female,46-60,France,493,46,3,0.0,1,1.0,0.0,176570.28,1,0.8576393
Hs?eh,156709-15584776,Male,36-45,Germany,592,37,5,138476.41,2,0.0,1.0,18922.18,0,0.06195913
Tsou,40392-15772762,Male,36-45,France,602,36,1,0.0,2,1.0,0.0,184842.21,0,0.024105592
Loewenthal,100414-15788367,Female,36-45,France,835,43,7,0.0,2,1.0,1.0,176743.54,0,0.08167545
Norton,2010-15664881,Male,46-60,France,702,52,4,100054.77,1,1.0,0.0,109496.45,1,0.65980285
Nkemakonam,50308-15728352,Male,46-60,Germany,757,53,1,121898.58,1,0.0,1.0,104016.61,1,0.6298708
Palerma,52138-15665062,Male,36-45,France,663,37,9,0.0,1,1.0,0.0,126726.33,0,0.22831129
Dumetochukwu,19791-15633260,Male,36-45,France,600,37,1,142663.46,1,1.0,0.0,88669.89,0,0.10329843
Okwudiliolisa,99437-15814940,Female,36-45,Germany,693,40,0,127655.22,1,0.0,1.0,27345.18,0,0.44529468
Otutodilinna,76994-15659937,Female,36-45,France,703,40,1,0.0,2,0.0,1.0,122518.5,0,0.043564186
Owen,87914-15721487,Female,26-35,Spain,739,27,5,0.0,2,1.0,0.0,57572.38,0,0.03956403
Shao,3061-15724150,Male,26-35,Spain,704,34,5,0.0,2,1.0,0.0,145789.71,0,0.01580246
Howey,119765-15611329,Male,26-35,France,745,34,10,0.0,1,0.0,0.0,136329.96,0,0.18064739
Griffin,115883-15754849,Male,36-45,Germany,689,37,4,143625.83,2,0.0,1.0,176487.05,0,0.050571516
Chibugo,31583-15744041,Female,36-45,Germany,685,37,7,133950.37,2,1.0,1.0,134794.02,0,0.058995124
Hao,70794-15568982,Female,18-25,France,726,24,2,0.0,2,1.0,1.0,54724.03,0,0.020202156
Ch'iu,63359-15750921,Male,36-45,Spain,633,40,7,110728.39,1,0.0,1.0,98421.08,0,0.14041641
Pagnotto,111082-15604782,Male,36-45,France,724,37,3,0.0,2,0.0,1.0,153537.53,0,0.018101903
Maclean,43452-15572738,Female,26-35,Spain,697,33,7,0.0,2,1.0,1.0,131778.72,0,0.01339397
Lucciano,19141-15617252,Male,36-45,Spain,578,43,0,147803.36,1,0.0,1.0,132468.97,0,0.20173068
Ts'ui,134399-15650068,Male,36-45,France,683,40,5,0.0,1,0.0,1.0,52471.36,0,0.21577276
Yuriev,9636-15744607,Female,26-35,France,850,34,8,141749.68,1,1.0,0.0,118059.19,0,0.104146086
Tien,12174-15656840,Male,26-35,France,614,34,8,104450.86,1,0.0,1.0,47125.11,0,0.053605814
Hsiao,20774-15775888,Female,26-35,Germany,544,34,0,118887.06,3,1.0,1.0,72950.99,1,0.8556784
Kao,164014-15592645,Male,26-35,France,731,29,3,0.0,2,1.0,1.0,140941.52,0,0.0075347973
Onyemachukwu,19712-15637414,Female,26-35,France,521,32,7,0.0,1,1.0,0.0,90967.37,0,0.3327187
Brown,108335-15592914,Female,36-45,Germany,766,38,7,130933.74,1,0.0,1.0,2035.94,0,0.29226744
Chidimma,4456-15602934,Male,26-35,France,592,29,3,0.0,2,1.0,1.0,26170.43,0,0.009934651
Lu,161830-15778861,Female,36-45,Spain,597,43,6,0.0,2,1.0,0.0,153036.97,0,0.18531069
Nwankwo,71158-15649060,Female,46-60,France,663,46,1,0.0,2,1.0,0.0,95562.93,0,0.2445011
Galkina,139637-15784950,Female,46-60,Germany,742,46,2,97495.53,3,1.0,0.0,113079.35,1,0.97037506
Ayers,118266-15799031,Male,26-35,France,523,34,3,0.0,2,1.0,0.0,6726.53,0,0.02977087
Onyemauchechukwu,124014-15602966,Female,46-60,France,752,49,4,117301.58,1,0.0,0.0,161204.07,1,0.6963659
Zito,89098-15588854,Female,46-60,France,724,56,7,0.0,1,0.0,0.0,183490.99,1,0.9256345
Shaver,8202-15775108,Female,36-45,France,756,40,1,0.0,2,0.0,0.0,119638.85,0,0.09144644
Miller,12547-15746674,Male,46-60,France,558,47,7,0.0,1,1.0,0.0,33373.26,1,0.7372959
Cook,7629-15732268,Male,36-45,France,706,39,7,111169.91,1,0.0,1.0,95655.16,0,0.07090425
Martin,82180-15707025,Male,46-60,Germany,717,48,4,108632.48,1,1.0,0.0,71865.31,1,0.83318853
Burdekin,126947-15632185,Female,36-45,Spain,554,39,2,160132.75,1,1.0,1.0,32824.15,0,0.13907805
Udinese,128330-15596405,Female,36-45,Spain,546,42,7,127728.24,2,1.0,1.0,105279.74,0,0.07439728
T'ien,133155-15781298,Female,36-45,France,714,42,5,0.0,2,1.0,1.0,85901.09,0,0.031411577
Kao,65905-15768282,Male,36-45,France,850,37,7,0.0,2,1.0,0.0,174027.3,0,0.026908388
Chikelu,143585-15605835,Male,36-45,Germany,773,37,4,161069.78,2,1.0,0.0,121402.33,0,0.08529343
Walker,163600-15672908,Male,26-35,France,707,29,7,0.0,2,1.0,0.0,121409.0,0,0.013711965
Ts'ai,125181-15588854,Female,26-35,France,696,26,2,0.0,2,1.0,0.0,80552.11,0,0.027454937
Mazzanti,40515-15702300,Female,36-45,Germany,790,37,8,131653.17,1,1.0,0.0,120852.85,0,0.44515067
McKinley,157741-15766417,Female,46-60,France,678,48,2,0.0,2,1.0,1.0,43821.56,0,0.10088946
P'an,151170-15741295,Female,26-35,Spain,624,32,8,0.0,2,0.0,1.0,115676.61,0,0.018451018
Kegley,159236-15803526,Male,26-35,Spain,547,26,8,0.0,2,1.0,0.0,158937.64,0,0.020020599
Lombardo,157582-15725002,Male,26-35,Spain,599,33,6,124348.38,2,1.0,0.0,111590.35,0,0.05222707
Y?,69169-15809302,Female,36-45,France,633,40,7,0.0,1,1.0,0.0,56984.58,1,0.6311029
Gannon,97028-15806839,Female,26-35,France,678,34,3,125535.7,1,1.0,1.0,156774.39,0,0.06920869
Trevisan,155815-15757981,Male,18-25,Germany,632,22,9,108432.88,2,1.0,0.0,172557.77,0,0.08011336
T'ien,60080-15657812,Female,26-35,Germany,662,27,8,126434.26,1,0.0,1.0,130504.49,0,0.1987652
Aksenova,160434-15756026,Male,18-25,France,605,22,9,0.0,2,1.0,1.0,85901.09,0,0.008282307
Ts'ui,111810-15642816,Female,60+,France,631,66,4,0.0,2,0.0,1.0,100335.55,0,0.049603894
Ponce,1812-15642162,Male,26-35,Germany,582,35,1,123407.69,1,1.0,0.0,152541.89,0,0.3546822
Nnamdi,156863-15769917,Female,26-35,France,676,27,9,0.0,2,1.0,1.0,120512.08,0,0.01341119
Shih,36746-15768387,Female,26-35,France,633,34,7,0.0,2,1.0,0.0,131804.86,0,0.028706102
Fancher,153922-15734659,Male,36-45,France,577,40,2,0.0,1,1.0,0.0,3554.63,0,0.46185037
Omeokachie,75496-15681647,Female,46-60,France,659,53,5,0.0,1,0.0,0.0,169291.7,1,0.94027656
Efremov,97487-15782963,Female,26-35,France,773,32,8,0.0,2,1.0,0.0,125083.29,0,0.026177289
Obidimkpa,259-15667521,Male,26-35,France,709,34,8,0.0,1,1.0,1.0,117828.96,0,0.065568134
Avent,43955-15665937,Female,36-45,France,588,39,7,127552.06,1,0.0,0.0,170514.06,0,0.33718765
Genovese,83627-15621487,Female,36-45,France,629,40,2,0.0,2,1.0,0.0,136301.1,0,0.09110056
Beneventi,27083-15784148,Male,60+,France,643,62,9,0.0,1,1.0,1.0,155870.82,0,0.3850687
Chiu,34-15593973,Male,46-60,Germany,749,50,5,132576.25,1,1.0,0.0,125939.18,1,0.88493943
Daly,164965-15783883,Female,36-45,Spain,771,41,5,0.0,1,0.0,1.0,92914.67,0,0.33526957
Lappin,7090-15616168,Female,36-45,France,615,38,2,0.0,1,0.0,0.0,79886.04,0,0.484341
Smith,99114-15661275,Male,36-45,Germany,636,40,4,106045.92,2,1.0,1.0,59816.16,0,0.075305685
Ch'ang,126106-15753837,Female,46-60,Germany,549,49,4,141806.97,1,1.0,1.0,87542.08,1,0.70719224
Gebhart,103172-15603665,Female,46-60,France,588,46,3,0.0,2,1.0,1.0,121457.88,0,0.101598956
Jeffrey,73432-15702014,Male,36-45,Spain,555,40,1,56084.69,2,0.0,0.0,170528.63,0,0.18267402
Iloerika,14684-15681655,Female,36-45,France,579,37,5,0.0,1,1.0,1.0,116816.28,0,0.23349544
Ni,114689-15697567,Female,26-35,France,654,32,6,166257.96,2,1.0,1.0,149369.41,0,0.03597928
Buckley,59980-15625964,Female,46-60,France,717,47,5,153313.67,1,0.0,0.0,170563.73,1,0.64900583
Ting,134774-15679968,Male,36-45,France,528,40,5,0.0,2,1.0,0.0,192867.4,0,0.057877984
Tuan,30045-15640866,Male,36-45,Spain,565,38,3,0.0,2,1.0,0.0,170408.45,0,0.030817209
Genovese,161149-15759913,Male,36-45,France,732,43,1,0.0,1,1.0,1.0,109733.79,0,0.32480285
Lettiere,34713-15638989,Female,18-25,France,711,25,5,190066.54,1,0.0,0.0,51345.39,0,0.2977541
Wang,92151-15585985,Female,46-60,Spain,695,46,8,0.0,1,1.0,1.0,153786.46,1,0.6162627
Wang,96039-15734524,Male,46-60,France,676,51,4,0.0,1,1.0,1.0,170426.65,1,0.578818
Nwabugwu,36842-15596974,Male,36-45,Spain,619,43,5,0.0,1,1.0,0.0,129964.67,1,0.66917205
H?,49459-15671590,Male,18-25,Spain,741,25,4,0.0,2,0.0,0.0,73873.65,0,0.023038154
Milani,42924-15647876,Female,46-60,Germany,610,54,2,138729.86,1,1.0,0.0,88920.59,1,0.9145757
Baryshnikov,128258-15780498,Male,26-35,Germany,637,34,0,125806.79,2,1.0,1.0,131762.95,0,0.039494384
McKay,101152-15736302,Female,36-45,France,687,40,4,0.0,2,1.0,1.0,170893.85,0,0.034381974
Hsia,162806-15660144,Male,36-45,Spain,690,36,1,0.0,2,1.0,0.0,141679.73,0,0.024668286
Uspenskaya,34913-15642997,Female,36-45,France,655,38,2,0.0,1,1.0,1.0,87816.86,0,0.22777203
Lucchese,144940-15691792,Female,36-45,France,812,37,9,0.0,2,1.0,0.0,151903.6,0,0.05863402
Lo,160387-15806822,Male,36-45,Spain,678,38,5,0.0,2,1.0,1.0,140941.47,0,0.0113331955
Tsai,42663-15795588,Female,36-45,France,593,40,4,0.0,2,1.0,0.0,152876.75,0,0.09993251
Smith,145835-15704769,Female,60+,Germany,687,67,7,113978.97,3,0.0,1.0,93146.11,1,0.91403407
